,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20042005,Cushing Academy,USHS-Prep,26608,1,0,0.0,34,0,0.0,1,,,,,,,,,,,,,,,,
0,20052006,Cushing,High-MA,1,16,1,,36,,,17,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Peterborough,OHL,1,26,7,63.0,67,63,-6.0,33,,,,0.0,,,7.0,0.0,,,,,,,,
0,20072008,Peterborough,OHL,1,50,11,72.0,60,72,8.0,61,,,,,,,6.0,0.0,,,,,,,,
0,20082009,Atlanta Thrashers,National Hockey League,1,10,9,47.0,47,47,11.0,19,851:05,52:30,729:10,0.0,69:25,1007.0,2.0,1.0,90.0,67.0,5.0,10.0,1.0,0.0,1.0,50.0
0,20082009,United States,WC-A,2,1,0,2.0,9,2,,1,,,,0.0,,,,,,,,,,,,
0,20082009,Chicago,AHL,3,0,1,0.0,5,0,-5.0,1,,,,,,,1.0,0.0,,,,,0.0,,,
0,20092010,Atlanta Thrashers,National Hockey League,1,13,10,61.0,81,61,-18.0,23,1734:12,134:23,1425:25,0.0,174:24,2039.0,3.0,1.0,155.0,196.0,6.0,6.45,0.0,0.0,2.0,124.0
0,20102011,Atlanta Thrashers,National Hockey League,1,12,5,29.0,71,29,-27.0,17,1590:40,140:43,1306:28,0.0,143:29,1898.0,0.0,0.0,155.0,111.0,4.0,3.23,1.0,1.0,0.0,91.0
0,20112012,Winnipeg Jets,National Hockey League,1,25,5,71.0,65,71,-3.0,30,1515:33,160:07,1160:34,0.0,194:52,1704.0,1.0,0.0,150.0,117.0,7.0,3.33,0.0,0.0,0.0,109.0
0,20122013,Winnipeg Jets,National Hockey League,1,9,5,29.0,33,29,-5.0,14,763:05,57:32,639:48,0.0,65:45,869.0,0.0,0.0,85.0,79.0,3.0,5.88,0.0,0.0,0.0,50.0
0,20132014,Winnipeg Jets,National Hockey League,1,8,3,48.0,55,48,3.0,11,1260:01,88:34,1048:56,0.0,122:31,1518.0,0.0,0.0,134.0,94.0,1.0,2.24,0.0,0.0,0.0,75.0
0,20142015,Winnipeg Jets,National Hockey League,1,10,3,40.0,41,40,1.0,13,908:55,45:42,764:13,0.0,99:00,1142.0,0.0,0.0,74.0,106.0,1.0,4.05,0.0,0.0,0.0,47.0
0,20142015,Buffalo Sabres,National Hockey League,2,7,0,38.0,21,38,-7.0,7,558:00,53:21,448:00,0.0,56:39,612.0,0.0,0.0,51.0,83.0,1.0,0.0,0.0,0.0,0.0,43.0
0,20152016,Buffalo Sabres,National Hockey League,1,17,7,68.0,64,68,-11.0,24,1430:15,94:28,1246:25,0.0,89:22,1804.0,3.0,0.0,121.0,86.0,6.0,5.79,1.0,0.0,1.0,98.0
0,20162017,Buffalo Sabres,National Hockey League,1,9,2,46.0,56,46,-17.0,11,1124:53,06:43,1020:36,0.0,97:34,1424.0,0.0,0.0,73.0,59.0,1.0,2.74,1.0,1.0,0.0,97.0
0,20172018,Buffalo Sabres,National Hockey League,1,1,0,20.0,18,20,-9.0,1,344:49,15:59,308:52,0.0,19:58,458.0,0.0,0.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,23.0
0,20182019,Buffalo Sabres,National Hockey League,1,16,3,52.0,65,52,-5.0,19,1405:44,16:37,1209:31,0.0,179:36,1574.0,0.0,1.0,93.0,83.0,1.0,3.23,0.0,0.0,1.0,116.0
0,20192020,Buffalo Sabres,National Hockey League,1,4,1,10.0,19,10,0.0,5,319:44,00:40,277:37,0.0,41:27,377.0,0.0,0.0,18.0,22.0,0.0,5.6,0.0,0.0,0.0,21.0
0,20192020,Tampa Bay Lightning,National Hockey League,2,2,0,12.0,8,12,0.0,2,129:17,01:21,111:50,0.0,16:06,156.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,4,0,49.0,45,49,7.0,4,654:10,02:25,587:37,0.0,64:08,873.0,0.0,0.0,36.0,67.0,0.0,0.0,0.0,0.0,0.0,31.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,5,3,53.0,48,53,2.0,8,737:24,00:23,717:49,0.0,19:12,887.0,0.0,0.0,60.0,114.0,0.0,5.0,1.0,0.0,0.0,34.0
