,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Belle Tire Bantam Minor AAA,T1EMBHL,168360,19,16,10,31,10,0.0,35,,,,,,,,,,,,,,,,
0,20102011,Belle Tire Bantam Major AAA,T1EBHL,122819,15,10,8,27,8,0.0,25,,,,,,,,,,,,,,,,
0,20112012,Det. B. Tire U16,T1EHL,1,20,8,18,35,18,,28,,,,,,,,,,,,,,,,
0,20122013,Det. L.C. U18,HPHL,1,14,7,18,28,18,,21,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,13,6,17,35,17,-4.0,19,66.0,2.0,9.1,1.0,0.0,,,,,,,,,,,
0,20132014,USNTDP,U-17,2,11,2,25,16,25,,13,,,,,,,,,,,,,,,,
0,20142015,U. of Michigan,Big Ten,1,16,9,8,35,8,,25,,3.0,,1.0,0.0,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,2,1,1,2,5,2,3.0,2,4.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,U. of Michigan,Big Ten,1,25,11,20,36,20,5.0,36,,7.0,,3.0,0.0,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,7,2,4,7,4,10.0,9,30.0,1.0,6.7,0.0,0.0,,,,,,,,,,,
0,20152016,Lake Erie,AHL,3,0,1,0,7,0,2.0,1,19.0,0.0,5.3,1.0,0.0,,,,,,,,,,,
0,20152016,Univ. of Michigan,NCAA,8590,25,11,20,36,20,5.0,36,,,,,,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,7,2,4,7,4,10.0,9,,,,,,,,,,,,,,,,
0,20152016,Cleveland Monsters,AHL,22447,0,1,0,7,0,2.0,1,,,,,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,36,11,14,78,14,17.0,47,188.0,4.0,5.85,1.0,0.0,1631:04,41.0,21.0,217:35,1354:28,0.0,1.0,0.0,59:01,90.0,2069.0
0,20172018,Columbus Blue Jackets,National Hockey League,1,21,16,16,77,16,8.0,37,207.0,3.0,7.73,3.0,0.0,1738:21,58.0,10.0,187:03,1492:39,0.0,1.0,0.0,58:39,92.0,2047.0
0,20182019,Columbus Blue Jackets,National Hockey League,1,33,11,18,82,18,-12.0,44,168.0,2.0,6.55,1.0,0.0,1877:46,67.0,15.0,201:12,1570:49,0.0,0.0,0.0,105:45,89.0,2250.0
0,20182019,USA,WC,17215,0,0,0,2,0,-1.0,0,,,,,,,,,,,,,,,,
0,20192020,Columbus Blue Jackets,National Hockey League,1,21,20,10,63,10,9.0,41,187.0,5.0,10.7,4.0,1.0,1511:05,36.0,13.0,171:54,1214:24,0.0,2.0,1.0,124:47,58.0,1763.0
0,20202021,Columbus Blue Jackets,National Hockey League,1,13,7,13,35,13,-9.0,20,79.0,0.0,8.9,1.0,0.0,852:34,21.0,5.0,76:03,711:14,0.0,1.0,0.0,65:17,39.0,987.0
0,20212022,Columbus Blue Jackets,National Hockey League,1,37,11,22,68,22,-15.0,48,216.0,4.0,5.1,2.0,0.0,1744:48,33.0,14.0,218:54,1420:08,0.0,0.0,1.0,105:46,95.0,1786.0
