,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,Wellington Dukes,OJHL,21380,0,0,0,2,0,0,
0,20162017,Quinte Red Devils U18 AAA,ETAHL U18,55215,0,0,0,1,0,0,
0,20162017,Quinte Red Devils U16 AAA,ETAHL U16,87314,14,7,52,35,52,21,
0,20162017,Team OMHA White,OGC-16,156337,0,1,2,5,2,1,
0,20172018,Wellington Dukes,OJHL,21380,13,5,40,54,40,18,
0,20182019,Wellington Dukes,OJHL,21380,16,6,34,34,34,22,
0,20192020,Merrimack College,NCAA,19270,14,4,68,34,68,18,-6.0
0,20202021,Merrimack College,NCAA,19270,6,1,8,14,8,7,0.0
0,20212022,Charlotte Checkers,AHL,2357,0,0,2,6,2,0,-2.0
0,20212022,Merrimack College,NCAA,19270,17,2,28,34,28,19,8.0
